	word	count
0	dr	2150
1	people	590
2	cancer	532
3	patients	528
4	would	498
5	years	479
6	also	445
7	university	434
8	could	428
9	study	400
10	many	386
11	medical	385
12	research	354
13	drug	351
14	two	346
15	health	346
16	may	324
17	first	321
18	researchers	307
19	even	302
20	found	302
21	drugs	290
22	disease	288
23	time	287
24	life	265
25	scientists	263
26	percent	261
27	year	259
28	work	247
29	cells	232
30	get	229
31	might	221
32	doctors	221
33	treatment	216
34	back	214
35	much	210
36	used	208
37	weight	205
38	blood	198
39	000	198
40	patient	196
41	make	195
42	say	195
43	system	193
44	brain	191
45	human	191
46	still	190
47	children	187
48	called	183
49	last	181
50	another	181
51	way	179
52	help	177
53	three	175
54	surgery	174
55	long	171
56	medicine	171
57	use	169
58	including	165
59	center	164
60	made	164
61	national	164
62	part	163
63	group	161
64	studies	161
65	around	159
66	world	158
67	take	157
68	data	156
69	think	154
70	heart	154
71	hospital	153
72	often	152
73	body	151
74	professor	150
75	among	148
76	institute	146
77	risk	145
78	well	144
79	published	144
80	known	144
81	team	143
82	million	143
83	see	143
84	day	142
85	food	142
86	pain	141
87	whether	138
88	later	137
89	know	136
90	immune	134
91	ago	133
92	different	133
93	states	132
94	going	132
95	cases	132
96	every	128
97	began	128
98	number	127
99	evidence	127
100	since	126
101	according	126
102	less	125
103	dogs	125
104	others	125
105	need	124
106	science	123
107	without	121
108	early	121
109	school	120
110	good	120
111	told	119
112	results	117
113	small	117
114	director	117
115	effects	117
116	better	117
117	colleagues	116
118	several	116
119	company	116
120	care	115
121	side	115
122	men	115
123	high	114
124	experts	114
125	added	112
126	times	110
127	little	109
128	united	109
129	1	109
130	family	107
131	death	107
132	become	107
133	black	107
134	find	107
135	yet	106
136	report	106
137	american	106
138	therapy	105
139	four	104
140	10	102
141	want	101
142	went	101
143	recent	101
144	came	101
145	government	100
146	go	100
147	really	100
148	age	100
149	companies	99
150	died	99
151	doctor	99
152	journal	99
153	next	99
154	public	98
155	look	98
156	least	98
157	months	97
158	taking	97
159	york	97
160	far	96
161	thought	96
162	something	96
163	person	96
164	us	95
165	possible	95
166	five	94
167	started	94
168	never	94
169	problems	94
170	c	94
171	though	93
172	control	93
173	likely	92
174	earth	92
175	information	92
176	using	92
177	clinical	91
178	given	91
179	loss	91
180	lot	90
181	f	90
182	genetic	90
183	moon	90
184	come	89
185	working	89
186	diet	89
187	program	89
188	eat	88
189	cell	88
190	enough	87
191	important	87
192	agency	87
193	days	87
194	california	86
195	led	86
196	worked	86
197	state	86
198	involved	85
199	large	85
